"1","Chattagram","চট্টগ্রাম","1"
"2","Rajshahi","রাজশাহী","1"
"3","Khulna","খুলনা","1"
"4","Barisal","বরিশাল","1"
"5","Sylhet","সিলেট","1"
"6","Dhaka","ঢাকা","1"
"7","Rangpur","রংপুর","1"
"8","Mymensingh","ময়মনসিংহ","1"
